candidate_id,smiles,provenance,canonical_smiles,contract_valid,rejection_reasons,ad_max_morgan_tanimoto,ad_status
enum-050267,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccsc1)cc(C(=O)N)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C(N)=O)cc(-c3ccsc3)c2)c(N=[N+]=[N-])c1,true,,0.384615,in_domain
enum-050268,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccsc1)cc(C(C)O)c2,deterministic-enumeration,CC(O)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(-c2ccsc2)c1,true,,0.409836,in_domain
enum-050269,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccsc1)cc(C(C)F)c2,deterministic-enumeration,CC(F)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(-c2ccsc2)c1,true,,0.409836,in_domain
enum-050270,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccsc1)cc(C(C)Cl)c2,deterministic-enumeration,CC(Cl)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(-c2ccsc2)c1,true,,0.438596,in_domain
enum-050271,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccsc1)cc(C(C)Br)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccsc3)cc(C(C)Br)c2)c(N=[N+]=[N-])c1,true,,0.409836,in_domain
enum-050272,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccsc1)cc(C(C)C#N)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccsc3)cc(C(C)C#N)c2)c(N=[N+]=[N-])c1,true,,0.396825,in_domain
enum-050273,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccsc1)cc(C1CCOCC1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccsc3)cc(C3CCOCC3)c2)c(N=[N+]=[N-])c1,true,,0.367647,in_domain
enum-050305,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(=O)N)cc(C(=O)N)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C(N)=O)cc(C(N)=O)c2)c(N=[N+]=[N-])c1,true,,0.418182,in_domain
enum-050306,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(=O)N)cc(C(C)O)c2,deterministic-enumeration,CC(O)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(N)=O)c1,true,,0.383333,in_domain
enum-050307,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(=O)N)cc(C(C)F)c2,deterministic-enumeration,CC(F)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(N)=O)c1,true,,0.377049,in_domain
enum-050308,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(=O)N)cc(C(C)Cl)c2,deterministic-enumeration,CC(Cl)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(N)=O)c1,true,,0.403509,in_domain
enum-050309,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(=O)N)cc(C(C)Br)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C(N)=O)cc(C(C)Br)c2)c(N=[N+]=[N-])c1,true,,0.377049,in_domain
enum-050310,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(=O)N)cc(C(C)C#N)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C(N)=O)cc(C(C)C#N)c2)c(N=[N+]=[N-])c1,true,,0.359375,in_domain
enum-050344,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)O)cc(C(C)O)c2,deterministic-enumeration,CC(O)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)O)c1,true,,0.450980,in_domain
enum-050345,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)O)cc(C(C)F)c2,deterministic-enumeration,CC(O)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)F)c1,true,,0.410714,in_domain
enum-050346,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)O)cc(C(C)Cl)c2,deterministic-enumeration,CC(O)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)Cl)c1,true,,0.442308,in_domain
enum-050347,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)O)cc(C(C)Br)c2,deterministic-enumeration,CC(O)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)Br)c1,true,,0.410714,in_domain
enum-050348,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)O)cc(C(C)C#N)c2,deterministic-enumeration,CC(O)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)C#N)c1,true,,0.389831,in_domain
enum-050349,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)O)cc(C1CCOCC1)c2,deterministic-enumeration,CC(O)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C2CCOCC2)c1,true,,0.353846,in_domain
enum-050383,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)F)cc(C(C)F)c2,deterministic-enumeration,CC(F)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)F)c1,true,,0.450980,in_domain
